Concentration ,Red ,Orange ,Yellow,Green,Blue ,Violet
0,0.862889331,0.9,0.771096053,0.726745562,0.539272727,0.861904762
0,0.512458582,0.530880203,0.529691556,0.52295858,0.885454545,0.529931973
0,0.877203446,0.893956526,0.829528754,0.766863905,0.873818182,0.878231293
0,0.9,0.893098743,0.810168522,0.735502959,0.891272727,0.883673469
0,0.898939695,0.896100985,0.8417081,0.775502959,0.868,0.9
0,0.89019218,0.884053027,0.801966824,0.72816568,0.9,0.875510204
0,0.822332671,0.879491178,0.867439609,0.837751479,0.9,0.86462585
0,0.822332671,0.879491178,0.867439609,0.837751479,0.853454545,0.86462585
0,0.862624254,0.862686422,0.793765125,0.726745562,0.850545455,0.853741497
0,0.768257124,0.823072424,0.801262815,0.808639053,0.856363636,0.804761905
0,0.771703115,0.829856711,0.809323712,0.815976331,0.824363636,0.810204082
0,0.749966865,0.810712545,0.770286443,0.795739645,0.847636364,0.780272109
0,0.767726972,0.824826981,0.801368416,0.809230769,0.850545455,0.804761905
0,0.764280981,0.82447607,0.804853258,0.813136095,0.850545455,0.804761905
0,0.860768721,0.861282776,0.791582699,0.724970414,0.847636364,0.851020408
0,0.762425447,0.823579296,0.806859682,0.814319527,0.841818182,0.804761905
0,0.759774685,0.818939468,0.801403617,0.796331361,0.841818182,0.799319728
0,0.757654076,0.819134419,0.798904387,0.807455621,0.838909091,0.796598639
0,0.757123923,0.818627547,0.79830598,0.806390533,0.859272727,0.796598639
0,0.777269715,0.839214348,0.818863026,0.821183432,0.838909091,0.818367347
0,0.742279655,0.785485915,0.795454745,0.811597633,0.868,0.780272109
0,0.771438038,0.800887026,0.833154398,0.85147929,0.859272727,0.815646259
0,0.773823724,0.797650843,0.818651824,0.831242604,0.894181818,0.810204082
0,0.785487078,0.836290087,0.87247327,0.883076923,0.897090909,0.842857143
0,0.761630219,0.812934984,0.9,0.883076923,0.873818182,0.826530612
0,0.779920477,0.780027293,0.822946275,0.83147929,0.885454545,0.804761905
0,0.739098741,0.807866264,0.894121529,0.888639053,0.885454545,0.81292517
0,0.739098741,0.807866264,0.894121529,0.888639053,0.870909091,0.81292517
0,0.72239894,0.809113949,0.889651076,0.895384615,0.873818182,0.804761905
0,0.719748178,0.80934789,0.892959916,0.9,0.876727273,0.807482993
0,0.735387674,0.805838776,0.887363048,0.88260355,0.876727273,0.807482993
0,0.727700464,0.804630081,0.891094293,0.892544379,0.870909091,0.807482993
0,0.72239894,0.805292914,0.889123069,0.893372781,0.870909091,0.804761905
0,0.721868787,0.803031485,0.890531086,0.895266272,0.876727273,0.802040816
0,0.734327369,0.803226435,0.887151846,0.88260355,0.868,0.807482993
0,0.726640159,0.800419144,0.878034936,0.873254438,0.510181818,0.799319728
0.5,0.53499006,0.464051077,0.458058697,0.383195266,0.254181818,0.5
0.5,0.281312127,0.208665562,0.211127734,0.165088757,0.405454545,0.233333333
0.5,0.375414182,0.399600351,0.415888591,0.399171598,0.262909091,0.407482993
0.5,0.270709079,0.213617312,0.247348968,0.21183432,0.178545455,0.244217687
0.5,0.208151093,0.144565747,0.156496678,0.126153846,0.242545455,0.168027211
0.5,0.245526839,0.1982162,0.231825582,0.201775148,0.222181818,0.225170068
0.5,0.225115971,0.177551418,0.199124389,0.170177515,0.364727273,0.197959184
0.5,0.35314778,0.293391169,0.349113389,0.322485207,0.277454545,0.334013605
0.5,0.268588469,0.247226825,0.247172966,0.237751479,0.315272727,0.252380952
1,0.344930417,0.306920753,0.270299644,0.247810651,0.26,0.298639456
1,0.269118622,0.201686324,0.241188894,0.187692308,0.239636364,0.23877551
1,0.255334659,0.190067258,0.230980772,0.173964497,0.332727273,0.23877551
1,0.322133863,0.247616727,0.329577155,0.245325444,0.181454545,0.30952381
1,0.205500331,0.146632225,0.161882343,0.131360947,0.228,0.168027211
1,0.235719019,0.184686617,0.219646236,0.18816568,0.213454545,0.217006803
1,0.223525514,0.177434448,0.18919787,0.163195266,0.364727273,0.192517007
1,0.35102717,0.2936641,0.350063801,0.31964497,0.143636364,0.334013605
2,0.150099404,0.128228872,0.129110749,0.116686391,0.201818182,0.13537415
2,0.232273028,0.15290964,0.166458398,0.124615385,0.300727273,0.18707483
2,0.307819748,0.284072522,0.269243631,0.219289941,0.225090909,0.285034014
2,0.24128562,0.19802125,0.198244379,0.170414201,0.196,0.211564626
2,0.192776673,0.150765182,0.17920095,0.126153846,0.405454545,0.173469388
2,0.379920477,0.336124379,0.381884983,0.366982249,0.233818182,0.369387755
2,0.236249172,0.200984501,0.205249263,0.18035503,0.248363636,0.217006803
2,0.247647449,0.199775807,0.242667312,0.206627219,0.193090909,0.233333333
2,0.203644798,0.169909348,0.171351256,0.153372781,0.350181818,0.178911565
4,0.362425447,0.280407447,0.327641132,0.248402367,0.193090909,0.339455782
4,0.203909874,0.134584267,0.175047301,0.120946746,0.350181818,0.178911565
4,0.345990722,0.289765084,0.329365952,0.296686391,0.367636364,0.323129252
4,0.3629556,0.315030705,0.351577419,0.324615385,0.274545455,0.344897959
